Agriculture Development Bank Limited,100,416.00,412.00,413.00,19873.00,8215515.00,412.00,1.00
Ankhu Khola Jalvidhyut Company Ltd,55,59.00,53.00,53.00,850.00,47910.00,57.00,-4.00
Api Power Company Ltd.,47,111.00,106.00,108.00,9134.00,978990.00,109.00,-1.00
Arun Kabeli Power Ltd.,55,117.00,112.00,114.00,22566.00,2540562.00,115.00,-1.00
Arun Valley Hydropower Development Co. Ltd.,25,99.00,96.00,97.00,2150.00,208885.00,96.00,1.00
Asha Laghubitta Bittiya Sanstha Ltd,47,508.00,484.00,490.00,4287.00,2113624.00,507.00,-17.00

Asian Life Insurance Co. Limited,64,368.00,354.00,359.00,16445.00,5929673.00,365.00,-6.00

Bank of Kathmandu Ltd.,38,220.00,216.00,217.00,5198.00,1130977.00,218.00,-1.00

Barun Hydropower Co. Ltd.,7,82.00,80.00,82.00,1830.00,148830.00,81.00,1.00

Best Finance Company Ltd.,20,89.00,86.00,89.00,5293.00,459569.00,85.00,4.00

Butwal Power Company Limited,462,364.00,350.00,352.00,80343.00,28470136.00,355.00,-3.00

Central Finance Co. Ltd.,7,118.00,113.00,115.00,3396.00,388533.00,116.00,-1.00

Century Commercial Bank Ltd.,63,168.00,165.00,165.00,12883.00,2142362.00,167.00,-2.00

Chhimek Laghubitta Bikas Bank Limited,11,810.00,794.00,800.00,794.00,632499.00,805.00,-5.00

Chhyangdi Hydropower Ltd.,29,93.00,86.00,93.00,632.00,56938.00,85.00,8.00

Chilime Hydropower Company Limited,53,385.00,356.00,360.00,9139.00,3321737.00,358.00,2.00

Citizen Bank International Limited,48,185.00,182.00,182.00,9076.00,1666766.00,183.00,-1.00

Citizen Investment Trust,526,2165.00,1995.00,2050.00,41875.00,88274451.00,1969.00,81.00

Citizens Mutual Fund -1,4,9.00,8.82,8.99,3600.00,32099.00,8.83,0.16

City Express Finance Co. Limited,5,103.00,102.00,103.00,540.00,55420.00,104.00,-1.00

Civil Bank Ltd,41,137.00,134.00,137.00,12748.00,1734218.00,136.00,1.00

